model_name,repo,imagenet_top1,imagenet_top5,params,layer,hook,accuracy,baseline_accuracy
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,11,skip_layer_ffn_residual_no_residual_attention,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,11,full_layer_skip,75.78,75.98
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,0,skip_layer_atten,77.93,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,0,skip_layer_attention_residual,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,0,skip_layer_ffn,9.57,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,0,skip_layer_ffn_residual,1.56,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,0,skip_layer_ffn_residual_no_residual_attention,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,0,full_layer_skip,11.91,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,1,skip_layer_atten,79.88,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,1,skip_layer_attention_residual,0.1,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,1,skip_layer_ffn,78.71,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,1,skip_layer_ffn_residual,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,1,skip_layer_ffn_residual_no_residual_attention,0.1,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,1,full_layer_skip,79.1,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,2,skip_layer_atten,79.98,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,2,skip_layer_attention_residual,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,2,skip_layer_ffn,78.91,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,2,skip_layer_ffn_residual,0.29,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,2,skip_layer_ffn_residual_no_residual_attention,0.1,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,2,full_layer_skip,79.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,3,skip_layer_atten,79.39,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,3,skip_layer_attention_residual,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,3,skip_layer_ffn,78.71,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,3,skip_layer_ffn_residual,0.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,3,skip_layer_ffn_residual_no_residual_attention,0.1,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,3,full_layer_skip,78.61,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,4,skip_layer_atten,79.3,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,4,skip_layer_attention_residual,0.1,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,4,skip_layer_ffn,79.49,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,4,skip_layer_ffn_residual,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,4,skip_layer_ffn_residual_no_residual_attention,0.1,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,4,full_layer_skip,78.12,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,5,skip_layer_atten,80.18,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,5,skip_layer_attention_residual,0.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,5,skip_layer_ffn,79.88,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,5,skip_layer_ffn_residual,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,5,skip_layer_ffn_residual_no_residual_attention,0.0,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,5,full_layer_skip,78.71,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,6,skip_layer_atten,79.3,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,6,skip_layer_attention_residual,0.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,6,skip_layer_ffn,79.3,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,6,skip_layer_ffn_residual,0.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,6,skip_layer_ffn_residual_no_residual_attention,0.39,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,6,full_layer_skip,78.22,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,7,skip_layer_atten,79.88,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,7,skip_layer_attention_residual,0.29,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,7,skip_layer_ffn,78.61,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,7,skip_layer_ffn_residual,0.39,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,7,skip_layer_ffn_residual_no_residual_attention,0.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,7,full_layer_skip,77.73,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,8,skip_layer_atten,79.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,8,skip_layer_attention_residual,2.34,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,8,skip_layer_ffn,79.3,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,8,skip_layer_ffn_residual,4.69,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,8,skip_layer_ffn_residual_no_residual_attention,0.88,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,8,full_layer_skip,78.32,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,9,skip_layer_atten,79.39,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,9,skip_layer_attention_residual,17.97,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,9,skip_layer_ffn,78.52,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,9,skip_layer_ffn_residual,28.71,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,9,skip_layer_ffn_residual_no_residual_attention,14.94,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,9,full_layer_skip,76.86,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,10,skip_layer_atten,79.88,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,10,skip_layer_attention_residual,75.78,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,10,skip_layer_ffn,78.03,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,10,skip_layer_ffn_residual,63.28,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,10,skip_layer_ffn_residual_no_residual_attention,69.34,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,10,full_layer_skip,77.83,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,11,skip_layer_atten,78.03,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,11,skip_layer_attention_residual,64.26,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,11,skip_layer_ffn,79.79,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,11,skip_layer_ffn_residual,0.2,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,11,skip_layer_ffn_residual_no_residual_attention,0.39,80.18
DeiT-base,facebook/deit-base-patch16-224,81.8,95.6,86M,11,full_layer_skip,77.93,80.18
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,0,skip_layer_atten,36.82,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,0,skip_layer_attention_residual,0.39,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,0,skip_layer_ffn,0.29,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,0,skip_layer_ffn_residual,73.63,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,0,skip_layer_ffn_residual_no_residual_attention,0.2,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,0,full_layer_skip,2.15,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,1,skip_layer_atten,51.07,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,1,skip_layer_attention_residual,0.2,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,1,skip_layer_ffn,71.0,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,1,skip_layer_ffn_residual,73.63,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,1,skip_layer_ffn_residual_no_residual_attention,0.2,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,1,full_layer_skip,68.46,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,2,skip_layer_atten,59.18,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,2,skip_layer_attention_residual,0.1,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,2,skip_layer_ffn,71.48,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,2,skip_layer_ffn_residual,73.63,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,2,skip_layer_ffn_residual_no_residual_attention,0.1,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,2,full_layer_skip,68.95,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,3,skip_layer_atten,62.79,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,3,skip_layer_attention_residual,0.0,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,3,skip_layer_ffn,71.48,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,3,skip_layer_ffn_residual,73.63,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,3,skip_layer_ffn_residual_no_residual_attention,0.2,73.63
DeiT-tiny distilled,facebook/deit-tiny-distilled-patch16-224,74.5,91.9,6M,3,full_layer_skip,68.55,73.63
